类目名称,一级类目,二级类目,三级类目,是否可以多类目操作,副类目名称,副类目一级类目,副类目二级类目,副类目三级类目,副副类目一级类目,副副类目二级类目,副副类目三级类目
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,书包,是,箱包皮具/热销女包/男包,箱包皮具/热销女包/男包,双肩背包,双肩背包,居家日用,防护用品,护目镜
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备,游泳池/戏水玩具,泳镜,是,运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品,游泳,泳镜,,,
童装/婴儿装/亲子装,童装/婴儿装/亲子装,儿童泳装,泳衣裤,是,运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,,,
童装/婴儿装/亲子装,童装/婴儿装/亲子装,T恤,T恤,是,童装/婴儿装/亲子装,童装/婴儿装/亲子装,儿童户外服,儿童速干T恤,,,
童装/婴儿装/亲子装,童装/婴儿装/亲子装,外套/夹克/大衣,普通外套,是,童装/婴儿装/亲子装,童装/婴儿装/亲子装,儿童户外服,儿童冲锋衣,,,
童装/婴儿装/亲子装,童装/婴儿装/亲子装,儿童户外服,儿童滑雪服,是,户外/登山/野营/旅行用品,户外/登山/野营/旅行用品,滑雪,滑雪衣,,,
户外/登山/野营/旅行用品,户外/登山/野营/旅行用品,户外鞋靴,沙滩鞋/凉鞋/拖鞋,是,运动鞋new,运动鞋new,运动沙滩鞋/凉鞋,运动沙滩鞋/凉鞋,,,
